route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,632,"Hunters Point South",1110,1,11,82
"ER",1,633,"Hunters Point South",1311,1,13,82
"ER",1,634,"Hunters Point South",1511,1,15,82
"ER",1,635,"Hunters Point South",1206,1,12,82
"ER",1,636,"Hunters Point South",1112,1,11,82
"ER",1,637,"Hunters Point South",1405,1,14,82
"ER",1,638,"Hunters Point South",1313,1,13,82
"ER",1,639,"Hunters Point South",1513,1,15,82
"ER",1,640,"Hunters Point South",1208,1,12,82
"ER",1,641,"Hunters Point South",1114,1,11,82
"ER",1,642,"Hunters Point South",1407,1,14,82
"ER",1,643,"Hunters Point South",1315,1,13,82
"ER",1,644,"Hunters Point South",1210,1,12,82
"ER",1,645,"Hunters Point South",1409,1,14,82
"ER",1,646,"Wall St./Pier 11",1103,0,11,81
"ER",1,647,"Wall St./Pier 11",1203,0,12,81
"ER",1,648,"Wall St./Pier 11",1304,0,13,81
"ER",1,649,"Wall St./Pier 11",1404,0,14,81
"ER",1,650,"Wall St./Pier 11",1504,0,15,81
"ER",1,651,"Wall St./Pier 11",1105,0,11,81
"ER",1,652,"Wall St./Pier 11",1205,0,12,81
"ER",1,653,"Wall St./Pier 11",1306,0,13,81
"ER",1,654,"Wall St./Pier 11",1506,0,15,81
"ER",1,655,"Wall St./Pier 11",1107,0,11,81
"ER",1,656,"Wall St./Pier 11",1308,0,13,81
"ER",1,658,"Wall St./Pier 11",1508,0,15,81
"ER",1,664,"Wall St./Pier 11",1109,0,11,81
"ER",1,665,"Wall St./Pier 11",1310,0,13,81
"ER",1,666,"Wall St./Pier 11",1510,0,15,81
"ER",1,667,"Wall St./Pier 11",1111,0,11,81
"ER",1,668,"Wall St./Pier 11",1312,0,13,81
"ER",1,669,"Wall St./Pier 11",1512,0,15,81
"ER",1,670,"Wall St./Pier 11",1207,0,12,81
"ER",1,671,"Wall St./Pier 11",1113,0,11,81
"ER",1,672,"Wall St./Pier 11",1406,0,14,81
"ER",1,673,"Wall St./Pier 11",1314,0,13,81
"ER",1,674,"Wall St./Pier 11",1514,0,15,81
"ER",1,675,"Wall St./Pier 11",1209,0,12,81
"ER",1,676,"Wall St./Pier 11",1115,0,11,81
"ER",1,677,"Wall St./Pier 11",1408,0,14,81
"ER",1,678,"Wall St./Pier 11",1316,0,13,81
"ER",1,679,"Wall St./Pier 11",1211,0,12,81
"ER",1,680,"Wall St./Pier 11",1410,0,14,81
"ER",4,681,"Hunters Point South",1301,1,13,82
"ER",4,682,"Hunters Point South",1203,1,12,82
"ER",4,683,"Hunters Point South",1401,1,14,82
"ER",4,684,"Hunters Point South",1501,1,15,82
"ER",4,685,"Hunters Point South",1303,1,13,82
"ER",4,686,"Hunters Point South",1205,1,12,82
"ER",4,687,"Hunters Point South",1403,1,14,82
"ER",4,688,"Hunters Point South",1503,1,15,82
"ER",4,689,"Hunters Point South",1305,1,13,82
"ER",4,690,"Hunters Point South",1207,1,12,82
"ER",4,691,"Hunters Point South",1405,1,14,82
"ER",4,692,"Hunters Point South",1505,1,15,82
"ER",4,693,"Hunters Point South",1307,1,13,82
"ER",4,694,"Hunters Point South",1209,1,12,82
"ER",4,695,"Hunters Point South",1407,1,14,82
"ER",4,696,"Hunters Point South",1507,1,15,82
"ER",4,697,"Hunters Point South",1309,1,13,82
"ER",4,698,"Hunters Point South",1211,1,12,82
"ER",4,699,"Hunters Point South",1409,1,14,82
"ER",4,700,"Hunters Point South",1509,1,15,82
"ER",4,701,"Wall St./Pier 11",1302,0,13,81
"ER",4,702,"Wall St./Pier 11",1204,0,12,81
"ER",4,703,"Wall St./Pier 11",1402,0,14,81
"ER",4,704,"Wall St./Pier 11",1502,0,15,81
"ER",4,705,"Wall St./Pier 11",1304,0,13,81
"ER",4,706,"Wall St./Pier 11",1206,0,12,81
"ER",4,707,"Wall St./Pier 11",1404,0,14,81
"ER",4,708,"Wall St./Pier 11",1504,0,15,81
"ER",4,709,"Wall St./Pier 11",1306,0,13,81
"ER",4,710,"Wall St./Pier 11",1208,0,12,81
